ID,Start time,Completion time,Which of the following most closely reflects your professional role at the time of the 8th Annual CIT Training Academy? Select one.,"If you selected ""Law Enforcement not based in Missoula"", in what County do you currently work? Write-in below.",When are you taking this survey? Select one.,What's one thing that you hope to takeaway from the 40-hour Crisis Intervention Team Training Academy?,What's one thing that you immediately took away from the 40-hour Crisis Intervention Team Training Academy?,"What else would you like to share with the Missoula Crisis Intervention Team Program and/or Trainers as relates to the training you completed, your experience of the training, and/or your experien...",How comfortable are you with your current knowledge of mental illness? Select one.,How aware are you of community resources available to people living with mental illness? Select one.,How knowledgeable are you about civil commitment laws? Select one.,How knowledgeable are you about professional liability considerations that could arise when professionally engaging with someone in a mental health crisis? Select one.,How familiar are you with the roles of various actors or organizations in the mental health system? Examples of actors or organizations include things like different types of mental health profess...,Do you believe that the average person living with a mental illness is more or less aggressive than an individual not living with a mental illness? Select one.,Do you believe the average person living with a mental illness is more or less likely to commit a violent crime than an individual not living with a mental illness? Select one.,How well prepared do you feel to appropriately engage with someone experiencing a mental health crisis? Select one.,"Overall, how well prepared do you think other law enforcement officers are to appropriately engage with someone experiencing a mental health crisis? Select one.",How would you rate your comfort level in appropriately engaging with someone experiencing a mental health crisis? Select one.,How would you rate your confidence in using de-escalation skills to appropriately engage with someone experiencing a mental health crisis? Select one.,timepoint,"What's one way that you've used the knowledge, skills, abilities, and/or experience of the 40-hour Crisis Intervention Team Training Academy?",What's one thing that you hoped to take away from the 40-hour Crisis Intervention Team Training Academy?,"What's one surprising way that you've used the knowledge, skills, abilities, and/or experience of the 40-hour Crisis Intervention Team Training Academy?"
1,2024-03-27 09:34:24,2024-03-27 09:38:03,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",A deeper knowledge of crisis response to diverse communities. ,,,Comfortable,Aware,A little knowledgeable,Knowledgeable,Familiar,The same,The same,Somewhat prepared,Somewhat prepared,Moderately comfortable,Moderately confident,pre_post,,,
2,2024-04-01 09:06:54,2024-04-01 09:08:44,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 1, 2024",New skills to navigate crisis ,,,Very comfortable,Very aware,Knowledgeable,A little knowledgeable,Very familiar,The same,The same,Very prepared,Somewhat prepared,Very comfortable,Very confident,pre_post,,,
4,2024-04-01 09:06:48,2024-04-01 09:09:24,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",An expanded knowledge/ skill set on crisis intervention. ,,,A little comfortable,A little aware,Not at all knowledgeable,A little knowledgeable,A little familiar,More aggressive,More likely,Moderately prepared,Moderately prepared,Moderately comfortable,Moderately confident,pre_post,,,
5,2024-04-01 09:06:56,2024-04-01 09:09:36,Other,,"April 1, 2024",Knowledge related to interacting with individuals experiencing crisis and passing that knowledge to employees,,,Comfortable,Aware,Not at all knowledgeable,Not at all knowledgeable,Familiar,The same,The same,Somewhat prepared,Very prepared,Moderately comfortable,Moderately confident,pre_post,,,
6,2024-04-01 09:07:05,2024-04-01 09:09:51,Other,,"April 1, 2024",Communication and skills when dealing with crisis ,,,Comfortable,Aware,A little knowledgeable,A little knowledgeable,A little familiar,More aggressive,The same,Moderately prepared,Somewhat prepared,Moderately comfortable,Moderately confident,pre_post,,,
7,2024-04-01 09:06:57,2024-04-01 09:09:53,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,"April 1, 2024",Networking and effective collaboration with community partners.,,,Expert,Very aware,A little knowledgeable,Knowledgeable,Very familiar,The same,The same,Expert,Moderately prepared,Very comfortable,Moderately confident,pre_post,,,
8,2024-04-01 09:06:54,2024-04-01 09:10:01,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",How to better communicate in ways that keep myself and community members safe. ,,,Comfortable,A little aware,A little knowledgeable,A little knowledgeable,A little familiar,The same,Less likely,Somewhat prepared,Moderately prepared,Moderately comfortable,Somewhat confident,pre_post,,,
9,2024-04-01 09:06:55,2024-04-01 09:10:04,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 1, 2024",Better communication skills for dealing with people in mental crisis.  ,,,A little comfortable,Very aware,Not at all knowledgeable,A little knowledgeable,Very familiar,The same,The same,Moderately prepared,Somewhat prepared,Moderately comfortable,Moderately confident,pre_post,,,
10,2024-04-01 09:06:49,2024-04-01 09:10:07,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",Better means of communication to calm someone down during crisis.,,,A little comfortable,A little aware,Knowledgeable,Knowledgeable,Familiar,More aggressive,More likely,Moderately prepared,Somewhat prepared,Somewhat comfortable,Somewhat confident,pre_post,,,
11,2024-04-01 09:06:52,2024-04-01 09:10:18,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 1, 2024",Communication skills while responding to those in crises. ,,,Very comfortable,Very aware,A little knowledgeable,Not at all knowledgeable,Very familiar,The same,More likely,Very prepared,Moderately prepared,Very comfortable,Very confident,pre_post,,,
12,2024-04-01 09:07:30,2024-04-01 09:10:26,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",Concrete skills for communicating with community members experiencing a mental health crisis.,,,Very comfortable,Aware,A little knowledgeable,A little knowledgeable,Familiar,The same,More likely,Moderately prepared,Somewhat prepared,Moderately comfortable,Moderately confident,pre_post,,,
13,2024-04-01 09:06:50,2024-04-01 09:10:29,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",Acquire more skills in helping people going through mental health crisis.,,,A little comfortable,A little aware,A little knowledgeable,A little knowledgeable,A little familiar,More aggressive,More likely,Somewhat prepared,Somewhat prepared,Somewhat comfortable,Moderately confident,pre_post,,,
14,2024-04-01 09:07:09,2024-04-01 09:10:31,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",Better understanding of mental health issues ,,,A little comfortable,Very aware,A little knowledgeable,Knowledgeable,Familiar,More aggressive,More likely,Moderately prepared,Moderately prepared,Moderately comfortable,Moderately confident,pre_post,,,
15,2024-04-01 09:08:35,2024-04-01 09:10:32,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 1, 2024","How to help pts, and be a better advocate ",,,Comfortable,Aware,A little knowledgeable,Knowledgeable,Familiar,More aggressive,More likely,Somewhat prepared,Moderately prepared,Moderately comfortable,Moderately confident,pre_post,,,
16,2024-04-01 09:06:52,2024-04-01 09:10:33,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 1, 2024","Better understanding of how MT State laws impact mental health calls when decisions of involuntary criteria are being considered by MST, MPD, MCSO, etc. ",,,Very comfortable,Aware,Very knowledgeable,Knowledgeable,Very familiar,Less aggressive,The same,Very prepared,Somewhat prepared,Very comfortable,Moderately confident,pre_post,,,
17,2024-04-01 09:08:00,2024-04-01 09:10:40,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,"April 1, 2024",Skills to handle crisis situations and improve crisis response,,,Comfortable,Very aware,A little knowledgeable,A little knowledgeable,Familiar,Less aggressive,Less likely,Moderately prepared,Moderately prepared,Moderately comfortable,Moderately confident,pre_post,,,
18,2024-04-01 09:07:09,2024-04-01 09:10:56,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 1, 2024",Have more tools to help people in crisis in the field rather than feeling helpless and waiting for someone else to step in.,,,Comfortable,A little aware,Not at all knowledgeable,Not at all knowledgeable,Not at all familiar,The same,More likely,Moderately prepared,Moderately prepared,Somewhat comfortable,Moderately confident,pre_post,,,
19,2024-04-01 09:07:06,2024-04-01 09:10:56,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 1, 2024",Improved knowledge on scene safety and understanding of law enforcement perspectives on the scenes involving involuntary criteria ,,,Very comfortable,Very aware,Very knowledgeable,Knowledgeable,Very familiar,The same,The same,Very prepared,Somewhat prepared,Very comfortable,Very confident,pre_post,,,
20,2024-04-01 09:06:52,2024-04-01 09:10:57,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",More de-escalation tools to help people in crisis and knowledge of where I can refer people with mental health problems for help in the community ,,,Comfortable,A little aware,Very knowledgeable,Very knowledgeable,Familiar,The same,More likely,Moderately prepared,Moderately prepared,Moderately comfortable,Very confident,pre_post,,,
21,2024-04-01 09:06:54,2024-04-01 09:11:11,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",Adding more tools to my disposal when working with persons in crisis and networking with professionals in Missoula County,,,A little comfortable,A little aware,A little knowledgeable,A little knowledgeable,A little familiar,The same,More likely,Somewhat prepared,Moderately prepared,Somewhat comfortable,Moderately confident,pre_post,,,
22,2024-04-01 09:06:50,2024-04-01 09:11:12,Other,,"April 1, 2024",Coordination with community based mental health crisis response service that provide alternatives to incarceration. ,,,Very comfortable,Very aware,Expert,Knowledgeable,Very familiar,Less aggressive,Less likely,Very prepared,Somewhat prepared,Very comfortable,Very confident,pre_post,,,
23,2024-04-01 09:06:56,2024-04-01 09:11:27,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 1, 2024",Communication skills,,,Comfortable,A little aware,Not at all knowledgeable,Not at all knowledgeable,A little familiar,The same,The same,Somewhat prepared,Somewhat prepared,Somewhat comfortable,Somewhat confident,pre_post,,,
24,2024-04-01 09:07:53,2024-04-01 09:11:35,Other,,"April 1, 2024",Better skills to work with those in crisis,,,A little comfortable,Aware,A little knowledgeable,A little knowledgeable,Familiar,The same,The same,Moderately prepared,Moderately prepared,Moderately comfortable,Moderately confident,pre_post,,,
25,2024-04-01 09:06:49,2024-04-01 09:11:35,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",Learn how to help people better get through crisis and help them communicate to get them the help they need.  ,,,Comfortable,A little aware,A little knowledgeable,A little knowledgeable,A little familiar,The same,More likely,Moderately prepared,Moderately prepared,Moderately comfortable,Moderately confident,pre_post,,,
26,2024-04-01 09:06:50,2024-04-01 09:11:38,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024","Ability to convince those in crisis to seek further help, short of an involuntary commitment and or an eventual arrest ",,,Comfortable,Aware,Knowledgeable,Knowledgeable,Familiar,More aggressive,More likely,Moderately prepared,Moderately prepared,Moderately comfortable,Moderately confident,pre_post,,,
27,2024-04-01 09:06:48,2024-04-01 09:11:46,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",A better set of skills to use when faced with someone who needs specialized assistance.,,,Comfortable,Very aware,A little knowledgeable,A little knowledgeable,A little familiar,The same,The same,Moderately prepared,Moderately prepared,Very comfortable,Moderately confident,pre_post,,,
28,2024-04-01 09:06:54,2024-04-01 09:11:48,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",I want to continue to expand my knowledge in law enforcement. I lost my dad 10 years ago. I want to obtain tools to assist my community and help prevent these tragic events from occurring to our community members. ,,,A little comfortable,A little aware,Not at all knowledgeable,A little knowledgeable,A little familiar,More aggressive,More likely,Moderately prepared,Very prepared,Moderately comfortable,Somewhat confident,pre_post,,,
29,2024-04-01 09:06:53,2024-04-01 09:11:53,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",Tools and resources to help in my day to day work and extra duties. ,,,Comfortable,A little aware,A little knowledgeable,A little knowledgeable,A little familiar,The same,The same,Moderately prepared,Moderately prepared,Moderately comfortable,Moderately confident,pre_post,,,
30,2024-04-01 09:06:55,2024-04-01 09:11:53,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 1, 2024",A knowledge of interagency response for mental health. To build confidence in on call scenarios. ,,,Comfortable,Aware,A little knowledgeable,A little knowledgeable,Familiar,The same,The same,Somewhat prepared,Not at all prepared,Moderately comfortable,Somewhat confident,pre_post,,,
31,2024-04-01 09:07:09,2024-04-01 09:12:14,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,"April 1, 2024",Making new connections and increasing my skills ,,,Very comfortable,Very aware,Not at all knowledgeable,Not at all knowledgeable,Very familiar,The same,The same,Moderately prepared,Not at all prepared,Very comfortable,Very confident,pre_post,,,
32,2024-04-01 09:07:55,2024-04-01 09:12:16,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,"April 1, 2024",The ability to deescalate crisis situations and have the knowledge to do so safely and effectively,,,Very comfortable,Aware,A little knowledgeable,A little knowledgeable,Familiar,The same,More likely,Moderately prepared,Somewhat prepared,Very comfortable,Somewhat confident,pre_post,,,
33,2024-04-01 09:07:00,2024-04-01 09:12:25,Law Enforcement not based in Missoula,Mineral,"April 1, 2024",A better skill set to use while dealing with my customers who are in crisis. ,,,A little comfortable,A little aware,A little knowledgeable,A little knowledgeable,A little familiar,More aggressive,More likely,Moderately prepared,Somewhat prepared,Moderately comfortable,Moderately confident,pre_post,,,
34,2024-04-01 09:07:04,2024-04-01 09:12:33,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 1, 2024",To better understand and communicate with people that are in crisis or dealing with mental health.,,,A little comfortable,A little aware,A little knowledgeable,Knowledgeable,A little familiar,The same,The same,Moderately prepared,Moderately prepared,Moderately comfortable,Moderately confident,pre_post,,,
35,2024-04-01 09:10:16,2024-04-01 09:13:00,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,"April 1, 2024",Effective skills for verbal de-escalation. ,,,Very comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,Less aggressive,Less likely,Very prepared,Moderately prepared,Moderately comfortable,Moderately confident,pre_post,,,
36,2024-04-05 15:07:46,2024-04-05 15:11:49,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 5, 2024",,Working together as a team using the principles of CIT,The scenarios were a great way to practice lessons learned,Comfortable,Aware,Knowledgeable,A little knowledgeable,Familiar,The same,The same,Very prepared,Somewhat prepared,Moderately comfortable,Very confident,pre_post,,,
37,2024-04-05 15:07:42,2024-04-05 15:12:30,Law Enforcement not based in Missoula,Mineral County,"April 5, 2024",,"That there is a lot, a lot of information to take ina d consider.","It’s great, really. I hope everyone here appreciates the amount of work that goes in to making something like this happen.",Comfortable,Very aware,Knowledgeable,Very knowledgeable,Very familiar,Less aggressive,Less likely,Very prepared,Somewhat prepared,Moderately comfortable,Very confident,pre_post,,,
38,2024-04-05 15:08:32,2024-04-05 15:12:38,Other,,"April 5, 2024",,Situational awareness and other agencies response to crisis,This was a wonderful training.  Thank you to all the instructors,Very comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,The same,The same,Very prepared,Very prepared,Very comfortable,Very confident,pre_post,,,
39,2024-04-05 15:11:27,2024-04-05 15:13:51,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 5, 2024",,Importance of staying regulated and calm in crisis interactions,,Very comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,The same,The same,Very prepared,Somewhat prepared,Very comfortable,Expert,pre_post,,,
40,2024-04-05 15:11:46,2024-04-05 15:14:32,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 5, 2024",,Slow it down and listen.,Just Thankyou for putting this academy on. It is very useful in my line of work.,Comfortable,Very aware,Knowledgeable,Knowledgeable,Familiar,The same,The same,Very prepared,Moderately prepared,Moderately comfortable,Moderately confident,pre_post,,,
42,2024-04-05 15:15:12,2024-04-05 15:17:40,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,"April 5, 2024",,I need to work on situational awareness ,I would love to become more involved after experiencing the course for myself,Very comfortable,Very aware,Knowledgeable,Knowledgeable,Very familiar,Less aggressive,Less likely,Very prepared,Very prepared,Very comfortable,Very confident,pre_post,,,
43,2024-04-05 15:14:30,2024-04-05 15:18:06,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 5, 2024",,Slow down conversations and interactions ,I appreciate how knowledgeable staff and instructors were. It made me more interested in learning and buying into this process ,Very comfortable,Very aware,Knowledgeable,Knowledgeable,Very familiar,Less aggressive,Less likely,Very prepared,Moderately prepared,Very comfortable,Very confident,pre_post,,,
44,2024-04-05 15:15:42,2024-04-05 15:19:38,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 5, 2024",,DBEAT,"Amazing training - appreciated the diversity of students (1st responders, community partners, etc) and the level of thought/intention put into the role plays and methods of building information (different presenters) and skills. ",Very comfortable,Very aware,Very knowledgeable,Knowledgeable,Familiar,The same,The same,Very prepared,Very prepared,Very comfortable,Moderately confident,pre_post,,,
45,2024-04-05 15:16:04,2024-04-05 15:20:20,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,"April 5, 2024",,A lot of people care in the community,I appreciate the training and for me to be able to see my areas I need more practice in. ,Very comfortable,Very aware,Very knowledgeable,Knowledgeable,Familiar,The same,The same,Very prepared,Very prepared,Very comfortable,Very confident,pre_post,,,
46,2024-04-05 15:15:35,2024-04-05 15:20:53,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 5, 2024",,Safety considerations ,Involving people with lived experience is very impactful. Have a practice scene that is based on POV or J Street,Very comfortable,Very aware,Knowledgeable,Knowledgeable,Very familiar,The same,The same,Expert,Very prepared,Expert,Expert,pre_post,,,
47,2024-04-05 15:16:16,2024-04-05 15:21:07,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,"April 5, 2024",,The reality of the topic and its vitality in what we do.,"This was genuinely helpful and navigating me through not only future crisis instances, but also ones I've been through. It has shown me reinforcement in things I've done right, and correction in things I haven't and being given opportunity to learn and ability to apply these things to my career and daily life as well. Loved this class so much. Genuinely. Thank you Theresa. -Cooper (crc)",Very comfortable,Very aware,Knowledgeable,Knowledgeable,Familiar,The same,The same,Moderately prepared,Moderately prepared,Very comfortable,Moderately confident,pre_post,,,
48,2024-04-05 15:15:36,2024-04-05 15:21:12,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,"April 5, 2024",,The T in CIT,I’m sure I’ll be back and would happily help in any capacity needed. Thank you for the training and thank you for the future support as I spread this information to the other providers in my department ,Very comfortable,Very aware,Knowledgeable,Knowledgeable,Very familiar,Less aggressive,Less likely,Very prepared,Very prepared,Very comfortable,Very confident,pre_post,,,
